city,year,scope,total_patents,active_applicants,hhi,top1_share,top5_share,top10_share,effective_applicants,new_applicants,new_patents,new_applicant_share,roll_top_patents,roll_top_share,roll_mid_inc_patents,roll_mid_inc_share,base_top_patents,base_top_share,base_mid_inc_patents,base_mid_inc_share,ln1p_total_patents,ln1p_active_applicants,ln1p_new_applicants,ln_effective_applicants,roll_top_n,base_top_n,province,idc_scope_new,idc_scope_stock,ln1p_idc_scope_new,ln1p_idc_scope_stock,ln1p_idc_scope_stock_l1,idc_registered_new,idc_registered_stock,ln1p_idc_registered_new,ln1p_idc_registered_stock,ln1p_idc_registered_stock_l1,idc_combined_new,idc_combined_stock,ln1p_idc_combined_new,ln1p_idc_combined_stock,ln1p_idc_combined_stock_l1,merge_idc_split,city_id,province_id,base_ln_patents,base_hhi,base_top10,base_active,base_ln_patents_q,base_hhi_q,base_top10_q,base_active_q,idc_scope_pre5,ln1p_idc_scope_pre5,ln1p_idc_scope_pre5_l1,ln1p_idc_scope_new_l1,idc_registered_pre5,ln1p_idc_registered_pre5,ln1p_idc_registered_pre5_l1,ln1p_idc_registered_new_l1,idc_combined_pre5,ln1p_idc_combined_pre5,ln1p_idc_combined_pre5_l1,ln1p_idc_combined_new_l1,idc_scope_prov_new,idc_scope_prov_stock,idc_scope_prov_pre5,ln1p_idc_scope_prov_new,ln1p_idc_scope_prov_new_l1,ln1p_idc_scope_prov_stock,ln1p_idc_scope_prov_stock_l1,ln1p_idc_scope_prov_pre5,ln1p_idc_scope_prov_pre5_l1,ln1p_idc_registered_prov_new,ln1p_idc_registered_prov_new_l1,ln1p_idc_registered_prov_stock,ln1p_idc_registered_prov_stock_l1,ln1p_idc_registered_prov_pre5,ln1p_idc_registered_prov_pre5_l1,ln1p_idc_combined_prov_new,ln1p_idc_combined_prov_new_l1,ln1p_idc_combined_prov_stock,ln1p_idc_combined_prov_stock_l1,ln1p_idc_combined_prov_pre5,ln1p_idc_combined_prov_pre5_l1,broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city,ln1p_new_patents,incumbent_patents,ln1p_incumbent_patents,policy_horserace_controls,merge_policy_horserace,entrant_count,entrant_patents,surv2_applicants,surv3_applicants,surv2_entry_patents,surv3_entry_patents,surv2_future_patents,surv3_future_patents,surv2_applicant_rate,surv3_applicant_rate,surv2_entry_pat_share_new,surv3_entry_pat_share_new,top10_n,top10_turnover_prev_share,top10_turnover_base_share,top10_turnover_prev_pat_share,top10_turnover_base_pat_share,top10_persistence_prev_share,top10_persistence_base_share,top20_n,top20_turnover_prev_share,top20_turnover_base_share,top20_turnover_prev_pat_share,top20_turnover_base_pat_share,top20_persistence_prev_share,top20_persistence_base_share,qgrant_total,qgrant_active,qgrant_new_n,qgrant_new_pat,qgrant_new_share,qcited_total,qcited_active,qcited_new_n,qcited_new_pat,qcited_new_share,qfcited_total,qfcited_active,qfcited_new_n,qfcited_new_pat,qfcited_new_share,qgrantyr_total,qgrantyr_active,qgrantyr_new_n,qgrantyr_new_pat,qgrantyr_new_share,main_total_patents,main_new_patents,qgrant_share_total,qgrant_share_new,ln_qgrant_new_n,ln_qgrant_new_pat,qgrantyr_share_total,qgrantyr_share_new,ln_qgrantyr_new_n,ln_qgrantyr_new_pat,qcited_share_total,qcited_share_new,ln_qcited_new_n,ln_qcited_new_pat,qfcited_share_total,qfcited_share_new,ln_qfcited_new_n,ln_qfcited_new_pat,ln1p_surv2_applicants,ln1p_surv3_applicants,ln1p_surv2_entry_patents,ln1p_surv3_entry_patents,ln1p_surv2_future_patents,ln1p_surv3_future_patents,surv2_entry_pat_share_total,surv3_entry_pat_share_total
七台河,2008,inv_app_appyear,10,10,0.1,0.1,0.5,1.0,10.0,5,5,0.5,1,0.1,4,0.4,3,0.3,3,0.3,2.3978952727983707,2.3978952727983707,1.791759469228055,2.302585092994046,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1,1,2.6834614843556737,0.0920382968002015,0.8412698412698413,2.598685991438708,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.791759469228055,5,1.791759469228055,"broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city",both_or_zero,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,0.7,,0.7,,0.3,10,,0.4,,0.4,,0.6,3.0,3.0,2.0,2.0,0.6666666666666666,,,,,,3.0,3.0,2.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,10.0,5.0,0.2,0.4,1.0986122886681098,1.0986122886681098,0.1,0.2,0.6931471805599453,0.6931471805599453,,,0.0,0.0,0.2,0.4,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2009,inv_app_appyear,18,16,0.074074074074074,0.1666666666666666,0.3888888888888889,0.6666666666666666,13.5,12,12,0.6666666666666666,1,0.0555555555555555,5,0.2777777777777778,6,0.3333333333333333,3,0.1666666666666666,2.9444389791664403,2.833213344056216,2.5649493574615367,2.6026896854443837,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1,1,2.6834614843556737,0.0920382968002015,0.8412698412698413,2.598685991438708,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.5649493574615367,6,1.9459101490553132,"broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city",both_or_zero,12.0,12.0,4.0,5.0,4.0,5.0,4.0,5.0,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,10,1.0,0.7,1.0,0.5833333333333334,0.0,0.3,16,1.0,0.625,1.0,0.5555555555555556,0.0,0.375,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,7.0,7.0,7.0,7.0,1.0,18.0,12.0,0.2777777777777778,0.4166666666666667,1.791759469228055,1.791759469228055,0.3888888888888889,0.5833333333333334,2.0794415416798357,2.0794415416798357,0.05555555555555555,0.08333333333333333,0.6931471805599453,0.6931471805599453,0.2777777777777778,0.4166666666666667,1.791759469228055,1.791759469228055,1.6094379124341003,1.791759469228055,1.6094379124341003,1.791759469228055,1.6094379124341003,1.791759469228055,0.2222222222222222,0.2777777777777778
七台河,2010,inv_app_appyear,14,12,0.1020408163265306,0.2142857142857142,0.5,0.8571428571428571,9.8,8,10,0.7142857142857143,0,0.0,4,0.2857142857142857,8,0.5714285714285714,1,0.0714285714285714,2.70805020110221,2.5649493574615367,2.1972245773362196,2.282382385676526,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1,1,2.6834614843556737,0.0920382968002015,0.8412698412698413,2.598685991438708,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0,0,0,0,0,0,0,0,2.3978952727983707,4,1.6094379124341005,"broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city",both_or_zero,8.0,10.0,2.0,2.0,2.0,2.0,3.0,4.0,0.25,0.25,0.2,0.2,10,1.0,0.6,1.0,0.5,0.0,0.4,12,0.8333333333333334,0.08333333333333333,0.8571428571428571,0.07142857142857142,0.16666666666666666,0.9166666666666666,4.0,3.0,3.0,4.0,1.0,,,,,,2.0,2.0,2.0,2.0,1.0,8.0,8.0,6.0,6.0,0.75,14.0,10.0,0.2857142857142857,0.4,1.3862943611198906,1.6094379124341003,0.42857142857142855,0.6,1.9459101490553132,1.9459101490553132,,,0.0,0.0,0.14285714285714285,0.2,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.6094379124341003,0.14285714285714285,0.14285714285714285
七台河,2011,inv_app_appyear,20,16,0.075,0.15,0.45,0.7,13.333333333333334,7,10,0.5,2,0.1,8,0.4,2,0.1,8,0.4,3.044522437723423,2.833213344056216,2.0794415416798357,2.5902671654458267,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1,1,2.6834614843556737,0.0920382968002015,0.8412698412698413,2.598685991438708,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0,0,0,0,0,0,0,2.3978952727983707,10,2.3978952727983707,"broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city",both_or_zero,7.0,10.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.2,10,0.8,0.9,0.8571428571428571,0.9285714285714286,0.2,0.1,16,0.8125,0.875,0.85,0.9,0.1875,0.125,3.0,3.0,2.0,2.0,0.6666666666666666,,,,,,3.0,3.0,2.0,2.0,0.6666666666666666,3.0,2.0,2.0,3.0,1.0,20.0,10.0,0.1,0.2,1.0986122886681098,1.0986122886681098,0.15,0.3,1.0986122886681098,1.3862943611198906,,,0.0,0.0,0.1,0.2,1.0986122886681098,1.0986122886681098,0.0,0.6931471805599453,0.0,1.0986122886681098,0.0,0.6931471805599453,0.0,0.1
七台河,2012,inv_app_appyear,23,16,0.0737240075614366,0.1304347826086956,0.4782608695652174,0.7391304347826086,13.564102564102566,11,15,0.6521739130434783,4,0.1739130434782608,4,0.1739130434782608,4,0.1739130434782608,4,0.1739130434782608,3.1780538303479458,2.833213344056216,2.4849066497880004,2.607426785728653,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1,1,2.6834614843556737,0.0920382968002015,0.8412698412698413,2.598685991438708,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0,0,0,0,0,0,0,2.772588722239781,8,2.1972245773362196,"broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city",both_or_zero,11.0,15.0,1.0,3.0,2.0,5.0,3.0,5.0,0.09090909090909091,0.2727272727272727,0.13333333333333333,0.3333333333333333,10,0.9,0.8,0.9411764705882353,0.7647058823529411,0.1,0.2,16,0.875,0.8125,0.8260869565217391,0.782608695652174,0.125,0.1875,4.0,3.0,1.0,1.0,0.25,,,,,,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,1.0,23.0,15.0,0.043478260869565216,0.06666666666666667,0.6931471805599453,0.6931471805599453,0.21739130434782608,0.3333333333333333,1.791759469228055,1.791759469228055,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,1.0986122886681098,1.791759469228055,1.3862943611198906,1.791759469228055,0.08695652173913043,0.21739130434782608
七台河,2013,inv_app_appyear,76,22,0.1256925207756232,0.2368421052631578,0.6842105263157895,0.8421052631578947,7.9559228650137745,12,58,0.7631578947368421,7,0.0921052631578947,11,0.1447368421052631,4,0.0526315789473684,14,0.1842105263157894,4.343805421853684,3.1354942159291497,2.5649493574615367,2.0739166657478663,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1,1,2.6834614843556737,0.0920382968002015,0.8412698412698413,2.598685991438708,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0,0,0,0,0,0,0,4.07753744390572,18,2.9444389791664403,"broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city",both_or_zero,12.0,58.0,5.0,5.0,43.0,43.0,48.0,48.0,0.4166666666666667,0.4166666666666667,0.7413793103448276,0.7413793103448276,10,0.8,0.9,0.90625,0.9375,0.2,0.1,20,0.85,0.95,0.9054054054054054,0.9459459459459459,0.15,0.05,33.0,10.0,6.0,27.0,0.8181818181818182,3.0,2.0,2.0,3.0,1.0,19.0,8.0,7.0,16.0,0.8421052631578947,3.0,3.0,2.0,2.0,0.6666666666666666,76.0,58.0,0.35526315789473684,0.46551724137931033,1.9459101490553132,3.332204510175204,0.02631578947368421,0.034482758620689655,1.0986122886681098,1.0986122886681098,0.039473684210526314,0.05172413793103448,1.0986122886681098,1.3862943611198906,0.21052631578947367,0.27586206896551724,2.0794415416798357,2.833213344056216,1.791759469228055,1.791759469228055,3.784189633918261,3.784189633918261,3.8918202981106265,3.8918202981106265,0.5657894736842105,0.5657894736842105
七台河,2014,inv_app_appyear,23,13,0.1417769376181474,0.3043478260869565,0.6521739130434783,0.8695652173913043,7.053333333333334,6,8,0.3478260869565217,11,0.4782608695652174,4,0.1739130434782608,8,0.3478260869565217,7,0.3043478260869565,3.1780538303479458,2.6390573296152584,1.9459101490553132,1.953500318321989,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1,1,2.6834614843556737,0.0920382968002015,0.8412698412698413,2.598685991438708,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,0,0,0,0,0,0,0,0,2.1972245773362196,15,2.772588722239781,"broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city",both_or_zero,6.0,8.0,2.0,2.0,2.0,2.0,4.0,5.0,0.3333333333333333,0.3333333333333333,0.25,0.25,10,0.6,0.9,0.45,0.65,0.4,0.1,13,0.6923076923076923,0.8461538461538461,0.5217391304347826,0.6521739130434783,0.3076923076923077,0.15384615384615385,4.0,4.0,1.0,1.0,0.25,,,,,,2.0,2.0,1.0,1.0,0.5,5.0,5.0,4.0,4.0,0.8,23.0,8.0,0.043478260869565216,0.125,0.6931471805599453,0.6931471805599453,0.17391304347826086,0.5,1.6094379124341003,1.6094379124341003,,,0.0,0.0,0.043478260869565216,0.125,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.6094379124341003,1.791759469228055,0.08695652173913043,0.08695652173913043
七台河,2015,inv_app_appyear,83,28,0.2472056902308027,0.4819277108433735,0.6626506024096386,0.7831325301204819,4.045214327657076,17,27,0.3253012048192771,46,0.5542168674698795,10,0.1204819277108433,5,0.0602409638554216,51,0.6144578313253012,4.430816798843313,3.367295829986474,2.8903717578961645,1.3975345349305075,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1,1,2.6834614843556737,0.0920382968002015,0.8412698412698413,2.598685991438708,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.0986122886681098,1.0986122886681098,1.0986122886681098,0,0,0,0,0,0,0,0,3.332204510175204,56,4.04305126783455,"broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city",both_or_zero,17.0,27.0,5.0,5.0,12.0,12.0,10.0,10.0,0.29411764705882354,0.29411764705882354,0.4444444444444444,0.4444444444444444,10,0.8,0.8,0.3384615384615385,0.9230769230769231,0.2,0.2,20,0.75,0.9,0.36,0.9333333333333333,0.25,0.1,25.0,14.0,11.0,15.0,0.6,4.0,3.0,3.0,4.0,1.0,21.0,14.0,11.0,14.0,0.6666666666666666,16.0,8.0,4.0,10.0,0.625,83.0,27.0,0.18072289156626506,0.5555555555555556,2.4849066497880004,2.772588722239781,0.12048192771084337,0.37037037037037035,1.6094379124341003,2.3978952727983707,0.04819277108433735,0.14814814814814814,1.3862943611198906,1.6094379124341003,0.1686746987951807,0.5185185185185185,2.4849066497880004,2.70805020110221,1.791759469228055,1.791759469228055,2.5649493574615367,2.5649493574615367,2.3978952727983707,2.3978952727983707,0.14457831325301204,0.14457831325301204
七台河,2016,inv_app_appyear,34,18,0.0951557093425605,0.1764705882352941,0.5882352941176471,0.7647058823529411,10.50909090909091,11,16,0.4705882352941176,8,0.2352941176470588,10,0.2941176470588235,2,0.0588235294117647,16,0.4705882352941176,3.5553480614894135,2.9444389791664403,2.4849066497880004,2.3522406834399066,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1,1,2.6834614843556737,0.0920382968002015,0.8412698412698413,2.598685991438708,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.0986122886681098,0,0,0,0,0,0,0,0,2.833213344056216,18,2.9444389791664403,"broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city",both_or_zero,11.0,16.0,1.0,2.0,2.0,3.0,7.0,11.0,0.09090909090909091,0.18181818181818182,0.125,0.1875,10,0.8,0.9,0.6923076923076923,0.9230769230769231,0.2,0.1,18,0.7777777777777778,0.8888888888888888,0.7058823529411765,0.7647058823529411,0.2222222222222222,0.1111111111111111,6.0,6.0,3.0,3.0,0.5,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,0.4,17.0,11.0,4.0,4.0,0.2352941176470588,34.0,16.0,0.08823529411764706,0.1875,1.3862943611198906,1.3862943611198906,0.11764705882352941,0.25,1.6094379124341003,1.6094379124341003,0.029411764705882353,0.0625,0.6931471805599453,0.6931471805599453,0.058823529411764705,0.125,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.3862943611198906,2.0794415416798357,2.4849066497880004,0.058823529411764705,0.08823529411764706
七台河,2017,inv_app_appyear,23,17,0.0737240075614366,0.1304347826086956,0.4782608695652174,0.6956521739130435,13.564102564102566,13,15,0.6521739130434783,1,0.0434782608695652,7,0.3043478260869565,0,0.0,8,0.3478260869565217,3.1780538303479458,2.8903717578961645,2.6390573296152584,2.607426785728653,10,10,黑龙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1,1,2.6834614843556737,0.0920382968002015,0.8412698412698413,2.598685991438708,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0986122886681098,0.0,1.6094379124341005,1.0986122886681098,1.6094379124341005,1.0986122886681098,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,0.0,1.791759469228055,1.3862943611198906,1.6094379124341005,1.0986122886681098,0,0,0,0,0,0,0,0,2.772588722239781,8,2.1972245773362196,"broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city",both_or_zero,13.0,15.0,2.0,4.0,2.0,4.0,3.0,7.0,0.15384615384615385,0.3076923076923077,0.13333333333333333,0.26666666666666666,10,0.8,1.0,0.75,1.0,0.2,0.0,17,0.8823529411764706,1.0,0.8260869565217391,1.0,0.11764705882352941,0.0,9.0,9.0,6.0,6.0,0.6666666666666666,,,,,,5.0,5.0,3.0,3.0,0.6,20.0,12.0,7.0,11.0,0.55,23.0,15.0,0.2608695652173913,0.4,1.9459101490553132,1.9459101490553132,0.4782608695652174,0.7333333333333333,2.0794415416798357,2.4849066497880004,,,0.0,0.0,0.13043478260869565,0.2,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.6094379124341003,1.0986122886681098,1.6094379124341003,1.3862943611198906,2.0794415416798357,0.08695652173913043,0.17391304347826086
