city,year,total_patents,active_applicants,new_applicants,new_patents,new_applicant_share,firm_total_patents,firm_active_applicants,new_firm_applicants,new_firm_patents,firm_incumbent_patents,firm_incumbent_applicants,firm_new_share_firm,firm_new_share_total,firm_patent_share_total,firm_incumbent_share_total,new_firm_share_all_new_patents,ln1p_firm_total_patents,ln1p_firm_active_applicants,ln1p_new_firm_applicants,ln1p_new_firm_patents,ln1p_firm_incumbent_patents,ln1p_firm_incumbent_applicants
七台河,2008,10,10,5,5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2009,18,16,12,12,0.6666666666666666,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.1111111111111111,0.1111111111111111,0.0,0.16666666666666666,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,0.0
七台河,2010,14,12,8,10,0.7142857142857143,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.07142857142857142,0.07142857142857142,0.0,0.1,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0
七台河,2011,20,16,8,11,0.55,4.0,2.0,1.0,3.0,1.0,1.0,0.75,0.15,0.2,0.05,0.2727272727272727,1.6094379124341003,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.6931471805599453
七台河,2012,23,16,11,15,0.6521739130434783,4.0,3.0,3.0,4.0,0.0,0.0,1.0,0.17391304347826086,0.17391304347826086,0.0,0.26666666666666666,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.6094379124341003,0.0,0.0
七台河,2013,76,22,12,58,0.7631578947368421,47.0,6.0,6.0,47.0,0.0,0.0,1.0,0.618421052631579,0.618421052631579,0.0,0.8103448275862069,3.871201010907891,1.9459101490553132,1.9459101490553132,3.871201010907891,0.0,0.0
七台河,2014,23,13,6,8,0.3478260869565217,6.0,4.0,2.0,2.0,4.0,2.0,0.3333333333333333,0.08695652173913043,0.2608695652173913,0.17391304347826086,0.25,1.9459101490553132,1.6094379124341003,1.0986122886681098,1.0986122886681098,1.6094379124341003,1.0986122886681098
七台河,2015,83,28,17,27,0.3253012048192771,54.0,12.0,7.0,8.0,46.0,5.0,0.14814814814814814,0.0963855421686747,0.6506024096385542,0.5542168674698795,0.2962962962962963,4.007333185232471,2.5649493574615367,2.0794415416798357,2.1972245773362196,3.8501476017100584,1.791759469228055
七台河,2016,34,18,11,16,0.4705882352941176,7.0,6.0,4.0,5.0,2.0,2.0,0.7142857142857143,0.14705882352941177,0.20588235294117646,0.058823529411764705,0.3125,2.0794415416798357,1.9459101490553132,1.6094379124341003,1.791759469228055,1.0986122886681098,1.0986122886681098
七台河,2017,23,17,13,15,0.6521739130434783,13.0,8.0,4.0,5.0,8.0,4.0,0.38461538461538464,0.21739130434782608,0.5652173913043478,0.34782608695652173,0.3333333333333333,2.6390573296152584,2.1972245773362196,1.6094379124341003,1.791759469228055,2.1972245773362196,1.6094379124341003
七台河,2018,45,19,13,35,0.7777777777777778,22.0,7.0,4.0,15.0,7.0,3.0,0.6818181818181818,0.3333333333333333,0.4888888888888889,0.15555555555555556,0.42857142857142855,3.1354942159291497,2.0794415416798357,1.6094379124341003,2.772588722239781,2.0794415416798357,1.3862943611198906
七台河,2019,56,25,17,39,0.6964285714285714,44.0,16.0,10.0,30.0,14.0,6.0,0.6818181818181818,0.5357142857142857,0.7857142857142857,0.25,0.7692307692307693,3.8066624897703196,2.833213344056216,2.3978952727983707,3.4339872044851463,2.70805020110221,1.9459101490553132
七台河,2020,55,31,21,36,0.6545454545454545,21.0,12.0,7.0,9.0,12.0,5.0,0.42857142857142855,0.16363636363636364,0.38181818181818183,0.21818181818181817,0.25,3.091042453358316,2.5649493574615367,2.0794415416798357,2.302585092994046,2.5649493574615367,1.791759469228055
七台河,2021,91,32,26,46,0.5054945054945055,45.0,7.0,4.0,4.0,41.0,3.0,0.08888888888888889,0.04395604395604396,0.4945054945054945,0.45054945054945056,0.08695652173913043,3.828641396489095,2.0794415416798357,1.6094379124341003,1.6094379124341003,3.7376696182833684,1.3862943611198906
七台河,2022,50,31,19,20,0.4,29.0,11.0,2.0,2.0,27.0,9.0,0.06896551724137931,0.04,0.58,0.54,0.1,3.4011973816621555,2.4849066497880004,1.0986122886681098,1.0986122886681098,3.332204510175204,2.302585092994046
七台河,2023,68,35,27,37,0.5441176470588235,49.0,18.0,11.0,19.0,30.0,7.0,0.3877551020408163,0.27941176470588236,0.7205882352941176,0.4411764705882353,0.5135135135135135,3.912023005428146,2.9444389791664403,2.4849066497880004,2.995732273553991,3.4339872044851463,2.0794415416798357
万宁,2008,6,3,1,2,0.3333333333333333,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.0,0.0
万宁,2009,5,4,2,3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
万宁,2010,9,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
万宁,2011,13,4,1,1,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
万宁,2012,32,5,2,2,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
万宁,2013,22,5,2,3,0.1363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
万宁,2014,22,5,2,3,0.1363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
